#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,host,method,peak_users,result,server,service,status_code,system_type,teastore
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:10:00Z,0.056332291166666666,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:11:00Z,0.047644951166666664,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:12:00Z,0.04694719566666666,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:13:00Z,0.06541977333333333,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:14:00Z,0.04516631016666667,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:15:00Z,0.0401937685,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:16:00Z,0.04943401449999999,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,1,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:17:00Z,0.058203912,response_time,http_response,category,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,2,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:23:00Z,4.671004487,response_time,http_response,category,performance,GET,1000,body_read_error,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,3,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T21:47:00Z,4.951638331,response_time,http_response,category,performance,GET,1000,body_read_error,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,open,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:21:00Z,1.8388739753333334,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
,,4,2025-04-23T19:47:28.263590724Z,2025-04-23T22:47:28.263590724Z,2025-04-23T22:22:00Z,3.206215027,response_time,http_response,category,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/category?page=1&category=2,teastore,200,closed,monitoring
