#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,host,method,peak_users,result,server,service,status_code,system_type,teastore
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:11:00Z,0.032546370666666664,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:12:00Z,0.02810794966666667,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:13:00Z,0.052600062666666676,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:14:00Z,0.026758957,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:15:00Z,0.026561747,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:16:00Z,0.03185964,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,1,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T21:17:00Z,0.03651529,response_time,http_response,home,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,open,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:21:00Z,1.968702265,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:22:00Z,3.218047825333333,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:23:00Z,3.3748520678,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:24:00Z,4.60263969525,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:25:00Z,4.2123105072,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:26:00Z,1.5320631348,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:27:00Z,0.024338501166666665,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:28:00Z,0.025476749000000003,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:29:00Z,0.027921572333333335,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:30:00Z,0.024637073333333332,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
,,2,2025-04-23T19:48:14.457710241Z,2025-04-23T22:48:14.457710241Z,2025-04-23T22:31:00Z,0.021954657333333332,response_time,http_response,home,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/,teastore,200,closed,monitoring
