#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,endpoint,host,method,peak_users,result,server,service,status_code,system_type,teastore
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:11:00Z,0.11369088866666666,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:12:00Z,0.09848314433333333,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:13:00Z,0.11535571333333333,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:14:00Z,0.09980136316666666,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:15:00Z,0.08725377899999999,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:16:00Z,0.10535841499999998,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,1,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T21:17:00Z,0.1204822,response_time,http_response,status,performance,GET,100,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,open,monitoring
,,2,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T22:21:00Z,0.16794493,response_time,http_response,status,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,closed,monitoring
,,2,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T22:22:00Z,4.971661404,response_time,http_response,status,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,closed,monitoring
,,2,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T22:23:00Z,0.145563586,response_time,http_response,status,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,closed,monitoring
,,2,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T22:26:00Z,1.7290044542,response_time,http_response,status,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,closed,monitoring
,,2,2025-04-23T19:49:04.245686106Z,2025-04-23T22:49:04.245686106Z,2025-04-23T22:27:00Z,0.08619256516666668,response_time,http_response,status,performance,GET,1000,success,http://localhost:8080/tools.descartes.teastore.webui/status,teastore,200,closed,monitoring
